fr_term,system,n_segments,modal_agreement_rate
effets indésirables,s1,23,1.0
Pembrolizumab,s1,4,1.0
arrêt de pembrolizumab,s1,5,1.0
KEYTRUDA,s1,3,1.0
chimiothérapie,s1,9,1.0
pembrolizumab,s1,49,1.0
études cliniques,s1,7,1.0
monothérapie,s1,3,1.0
RT,s1,5,1.0
RCT,s1,4,1.0
traitement,s1,13,1.0
constipation,s1,3,1.0
vomissements,s1,3,1.0
axitinib,s1,8,1.0
lenvatinib,s1,7,1.0
sécurité,s1,5,1.0
CCR,s1,4,1.0
hypothyroïdie,s1,12,0.916667
étude,s1,3,1.0
hypophysite,s1,5,0.6
pneumopathie inflammatoire,s1,8,1.0
colite,s1,6,0.833333
enfortumab vedotin,s1,3,1.0
arrêt,s1,5,1.0
séquelles,s1,5,1.0
Grade 2,s1,7,1.0
Grade 3,s1,10,1.0
Grade 4,s1,8,1.0
traités,s1,13,1.0
hépatite,s1,3,1.0
néphrite,s1,5,1.0
insuffisance surrénalienne,s1,4,0.75
hyperthyroïdie,s1,5,1.0
issue fatale,s1,4,1.0
GVH aiguë,s1,3,1.0
GVH chronique,s1,3,1.0
MVO hépatique,s1,3,1.0
ALAT,s1,7,1.0
ASAT,s1,3,0.666667
anticorps,s1,4,1.0
neutralisants,s1,3,1.0
__MEAN__,s1,41,0.969919
effets indésirables,s2,23,1.0
Pembrolizumab,s2,4,1.0
arrêt de pembrolizumab,s2,5,1.0
KEYTRUDA,s2,3,1.0
chimiothérapie,s2,9,1.0
pembrolizumab,s2,49,1.0
études cliniques,s2,7,1.0
monothérapie,s2,3,1.0
RT,s2,5,1.0
RCT,s2,4,1.0
traitement,s2,13,1.0
constipation,s2,3,1.0
vomissements,s2,3,1.0
axitinib,s2,8,1.0
lenvatinib,s2,7,1.0
sécurité,s2,5,1.0
CCR,s2,4,1.0
hypothyroïdie,s2,12,1.0
étude,s2,3,1.0
hypophysite,s2,5,1.0
pneumopathie inflammatoire,s2,8,0.875
colite,s2,6,0.833333
enfortumab vedotin,s2,3,1.0
arrêt,s2,5,1.0
séquelles,s2,5,1.0
Grade 2,s2,7,1.0
Grade 3,s2,10,1.0
Grade 4,s2,8,1.0
traités,s2,13,1.0
hépatite,s2,3,1.0
néphrite,s2,5,1.0
insuffisance surrénalienne,s2,4,1.0
hyperthyroïdie,s2,5,1.0
issue fatale,s2,4,1.0
GVH aiguë,s2,3,1.0
GVH chronique,s2,3,1.0
MVO hépatique,s2,3,1.0
ALAT,s2,7,1.0
ASAT,s2,3,0.666667
anticorps,s2,4,1.0
neutralisants,s2,3,1.0
__MEAN__,s2,41,0.984756
effets indésirables,s3,23,1.0
Pembrolizumab,s3,4,1.0
arrêt de pembrolizumab,s3,5,1.0
KEYTRUDA,s3,3,1.0
chimiothérapie,s3,9,0.888889
pembrolizumab,s3,49,1.0
études cliniques,s3,7,1.0
monothérapie,s3,3,1.0
RT,s3,5,1.0
RCT,s3,4,1.0
traitement,s3,13,1.0
constipation,s3,3,1.0
vomissements,s3,3,1.0
axitinib,s3,8,1.0
lenvatinib,s3,7,1.0
sécurité,s3,5,1.0
CCR,s3,4,1.0
hypothyroïdie,s3,12,1.0
étude,s3,3,1.0
hypophysite,s3,5,1.0
pneumopathie inflammatoire,s3,8,0.625
colite,s3,6,0.833333
enfortumab vedotin,s3,3,1.0
arrêt,s3,5,1.0
séquelles,s3,5,1.0
Grade 2,s3,7,1.0
Grade 3,s3,10,1.0
Grade 4,s3,8,1.0
traités,s3,13,1.0
hépatite,s3,3,1.0
néphrite,s3,5,1.0
insuffisance surrénalienne,s3,4,1.0
hyperthyroïdie,s3,5,1.0
issue fatale,s3,4,1.0
GVH aiguë,s3,3,1.0
GVH chronique,s3,3,1.0
MVO hépatique,s3,3,1.0
ALAT,s3,7,1.0
ASAT,s3,3,0.666667
anticorps,s3,4,1.0
neutralisants,s3,3,1.0
__MEAN__,s3,41,0.975949
effets indésirables,s4,23,1.0
Pembrolizumab,s4,4,1.0
arrêt de pembrolizumab,s4,5,1.0
KEYTRUDA,s4,3,1.0
chimiothérapie,s4,9,0.888889
pembrolizumab,s4,49,1.0
études cliniques,s4,7,1.0
monothérapie,s4,3,1.0
RT,s4,5,1.0
RCT,s4,4,1.0
traitement,s4,13,1.0
constipation,s4,3,1.0
vomissements,s4,3,1.0
axitinib,s4,8,1.0
lenvatinib,s4,7,1.0
sécurité,s4,5,1.0
CCR,s4,4,1.0
hypothyroïdie,s4,12,1.0
étude,s4,3,1.0
hypophysite,s4,5,1.0
pneumopathie inflammatoire,s4,8,0.75
colite,s4,6,0.833333
enfortumab vedotin,s4,3,1.0
arrêt,s4,5,1.0
séquelles,s4,5,1.0
Grade 2,s4,7,1.0
Grade 3,s4,10,1.0
Grade 4,s4,8,1.0
traités,s4,13,1.0
hépatite,s4,3,1.0
néphrite,s4,5,1.0
insuffisance surrénalienne,s4,4,1.0
hyperthyroïdie,s4,5,1.0
issue fatale,s4,4,1.0
GVH aiguë,s4,3,1.0
GVH chronique,s4,3,1.0
MVO hépatique,s4,3,1.0
ALAT,s4,7,1.0
ASAT,s4,3,0.666667
anticorps,s4,4,1.0
neutralisants,s4,3,1.0
__MEAN__,s4,41,0.978997
effets indésirables,s5,23,1.0
Pembrolizumab,s5,4,1.0
arrêt de pembrolizumab,s5,5,1.0
KEYTRUDA,s5,3,1.0
chimiothérapie,s5,9,1.0
pembrolizumab,s5,49,1.0
études cliniques,s5,7,1.0
monothérapie,s5,3,1.0
RT,s5,5,1.0
RCT,s5,4,1.0
traitement,s5,13,1.0
constipation,s5,3,1.0
vomissements,s5,3,1.0
axitinib,s5,8,1.0
lenvatinib,s5,7,1.0
sécurité,s5,5,1.0
CCR,s5,4,1.0
hypothyroïdie,s5,12,0.916667
étude,s5,3,1.0
hypophysite,s5,5,0.6
pneumopathie inflammatoire,s5,8,1.0
colite,s5,6,0.833333
enfortumab vedotin,s5,3,1.0
arrêt,s5,5,1.0
séquelles,s5,5,1.0
Grade 2,s5,7,1.0
Grade 3,s5,10,1.0
Grade 4,s5,8,1.0
traités,s5,13,1.0
hépatite,s5,3,1.0
néphrite,s5,5,1.0
insuffisance surrénalienne,s5,4,0.75
hyperthyroïdie,s5,5,1.0
issue fatale,s5,4,1.0
GVH aiguë,s5,3,1.0
GVH chronique,s5,3,1.0
MVO hépatique,s5,3,1.0
ALAT,s5,7,1.0
ASAT,s5,3,0.666667
anticorps,s5,4,1.0
neutralisants,s5,3,1.0
__MEAN__,s5,41,0.969919
effets indésirables,s5_mistral,23,1.0
Pembrolizumab,s5_mistral,4,1.0
arrêt de pembrolizumab,s5_mistral,5,1.0
KEYTRUDA,s5_mistral,3,1.0
chimiothérapie,s5_mistral,9,0.888889
pembrolizumab,s5_mistral,49,1.0
études cliniques,s5_mistral,7,1.0
monothérapie,s5_mistral,3,1.0
RT,s5_mistral,5,1.0
RCT,s5_mistral,4,1.0
traitement,s5_mistral,13,1.0
constipation,s5_mistral,3,1.0
vomissements,s5_mistral,3,1.0
axitinib,s5_mistral,8,1.0
lenvatinib,s5_mistral,7,1.0
sécurité,s5_mistral,5,1.0
CCR,s5_mistral,4,1.0
hypothyroïdie,s5_mistral,12,1.0
étude,s5_mistral,3,1.0
hypophysite,s5_mistral,5,1.0
pneumopathie inflammatoire,s5_mistral,8,0.875
colite,s5_mistral,6,0.833333
enfortumab vedotin,s5_mistral,3,1.0
arrêt,s5_mistral,5,1.0
séquelles,s5_mistral,5,1.0
Grade 2,s5_mistral,7,1.0
Grade 3,s5_mistral,10,1.0
Grade 4,s5_mistral,8,1.0
traités,s5_mistral,13,1.0
hépatite,s5_mistral,3,1.0
néphrite,s5_mistral,5,1.0
insuffisance surrénalienne,s5_mistral,4,1.0
hyperthyroïdie,s5_mistral,5,1.0
issue fatale,s5_mistral,4,1.0
GVH aiguë,s5_mistral,3,1.0
GVH chronique,s5_mistral,3,1.0
MVO hépatique,s5_mistral,3,1.0
ALAT,s5_mistral,7,1.0
ASAT,s5_mistral,3,0.666667
anticorps,s5_mistral,4,1.0
neutralisants,s5_mistral,3,1.0
__MEAN__,s5_mistral,41,0.982046
